student_ID,title_ID,score_rate
0088dc183f73c83f763e,Question_3MwAFlmNO8EKrpY5zjUd,0.043478260869565216
0088dc183f73c83f763e,Question_3oPyUzDmQtcMfLpGZ0jW,0.1111111111111111
0088dc183f73c83f763e,Question_4nHcauCQ0Y6Pm8DgKlLo,0.6666666666666666
0088dc183f73c83f763e,Question_5fgqjSBwTPG7KUV3it6O,0.3484848484848485
0088dc183f73c83f763e,Question_62XbhBvJ8NUSnApgDL94,1.0
0088dc183f73c83f763e,Question_6RQj2gF3OeK5AmDvThUV,1.0
0088dc183f73c83f763e,Question_7NJzCXUPcvQF4Mkfh9Wr,0.5
0088dc183f73c83f763e,Question_Az73sM0rHfWVKuc4X2kL,0.4166666666666667
0088dc183f73c83f763e,Question_BW0ItEaymH3TkD6S15JF,0.25
0088dc183f73c83f763e,Question_EhVPdmlB31M8WKGqL0wc,0.3333333333333333
0088dc183f73c83f763e,Question_Ej5mBw9rsOUKkFycGvz2,1.0
0088dc183f73c83f763e,Question_FNg8X9v5zcbB1tQrxHR3,1.0
0088dc183f73c83f763e,Question_Jr4Wz5jLqmN01KUwHa7g,0.2
0088dc183f73c83f763e,Question_Mh4CZIsrEfxkP1wXtOYV,1.0
0088dc183f73c83f763e,Question_NixCn84GdK2tySa5rB1V,1.0
0088dc183f73c83f763e,Question_Ou3f2Wt9BqExm5DpN7Zk,0.14285714285714285
0088dc183f73c83f763e,Question_QRm48lXxzdP7Tn1WgNOf,1.0
0088dc183f73c83f763e,Question_TmKaGvfNoXYq4FZ2JrBu,0.3333333333333333
0088dc183f73c83f763e,Question_UXqN1F7G3Sbldz02vZne,1.0
0088dc183f73c83f763e,Question_VgKw8PjY1FR6cm2QI9XW,0.1111111111111111
0088dc183f73c83f763e,Question_X3wF8QlTyi4mZkDp9Kae,1.0
0088dc183f73c83f763e,Question_YWXHr4G6Cl7bEm9iF2kQ,0.3333333333333333
0088dc183f73c83f763e,Question_ZTbD7mxr2OUp8Fz6iNjy,0.25
0088dc183f73c83f763e,Question_bumGRTJ0c8p4v5D6eHZa,0.5
0088dc183f73c83f763e,Question_fZrP3FJ4ebUogW9V7taS,0.15384615384615385
0088dc183f73c83f763e,Question_h7pXNg80nJbw1C4kAPRm,0.2
0088dc183f73c83f763e,Question_hZ5wXofebmTlzKB1jNcP,0.5
0088dc183f73c83f763e,Question_lU2wvHSZq7m43xiVroBc,0.5833333333333334
0088dc183f73c83f763e,Question_n2BTxIGw1Mc3Zo6RLdUe,0.3333333333333333
0088dc183f73c83f763e,Question_oCjnFLbIs4Uxwek9rBpu,0.5833333333333334
0088dc183f73c83f763e,Question_pVKXjZn0BkSwYcsa7C31,0.3333333333333333
0088dc183f73c83f763e,Question_q7OpB2zCMmW9wS8uNt3H,0.16666666666666666
0088dc183f73c83f763e,Question_rvB9mVE6Kbd8jAY4NwPx,0.25
0088dc183f73c83f763e,Question_s6VmP1G4UbEQWRYHK9Fd,0.25
0088dc183f73c83f763e,Question_tgOjrpZLw4RdVzQx85h6,0.25
0088dc183f73c83f763e,Question_x2Fy7rZ3SwYl9jMQkpOD,0.19047619047619047
0088dc183f73c83f763e,Question_x2L7AqbMuTjCwPFy6vNr,0.3888888888888889
0088dc183f73c83f763e,Question_xqlJkmRaP0otZcX4fK3W,1.0
00cbf05221bb479e66c3,Question_3MwAFlmNO8EKrpY5zjUd,0.3333333333333333
00cbf05221bb479e66c3,Question_3oPyUzDmQtcMfLpGZ0jW,0.21052631578947367
00cbf05221bb479e66c3,Question_4nHcauCQ0Y6Pm8DgKlLo,1.0
00cbf05221bb479e66c3,Question_5fgqjSBwTPG7KUV3it6O,0.6666666666666666
00cbf05221bb479e66c3,Question_62XbhBvJ8NUSnApgDL94,0.3333333333333333
00cbf05221bb479e66c3,Question_6RQj2gF3OeK5AmDvThUV,0.5
00cbf05221bb479e66c3,Question_7NJzCXUPcvQF4Mkfh9Wr,0.14285714285714285
00cbf05221bb479e66c3,Question_Az73sM0rHfWVKuc4X2kL,0.5555555555555556
00cbf05221bb479e66c3,Question_BW0ItEaymH3TkD6S15JF,0.041666666666666664
00cbf05221bb479e66c3,Question_EhVPdmlB31M8WKGqL0wc,0.3333333333333333
00cbf05221bb479e66c3,Question_Ej5mBw9rsOUKkFycGvz2,1.0
00cbf05221bb479e66c3,Question_FNg8X9v5zcbB1tQrxHR3,1.0
00cbf05221bb479e66c3,Question_Jr4Wz5jLqmN01KUwHa7g,0.5
00cbf05221bb479e66c3,Question_Mh4CZIsrEfxkP1wXtOYV,0.3333333333333333
00cbf05221bb479e66c3,Question_NixCn84GdK2tySa5rB1V,0.2
00cbf05221bb479e66c3,Question_Ou3f2Wt9BqExm5DpN7Zk,0.16666666666666666
